target,cmi,level,error,authority,emotional,logical,statistical,hype,clickbait,propaganda,fear,enemy_frame,disclaimer_exploit,anonymous_authority,naked_number
test/20210126-mxt_syoto02-000012321_2-4.pdf,34.2,LOW,,0.321,0.084,0.211,1.0,0.489,0.0,0.0,0.067,0.147,0.0,0.006,1.0
https://kyoko-np.net/2026030401.html,37.2,MEDIUM,,0.0,0.614,0.0,1.0,0.0,0.0,0.0,0.982,0.0,0.0,0.0,1.0
https://web-mu.jp/spiritual/67811/,11.4,LOW,,0.0,0.365,0.0,0.0,0.0,0.0,0.0,0.875,0.0,0.0,0.0,0.0
https://micropreneur.jp/voice160t/,11.0,LOW,,0.0,0.393,0.786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://item.rakuten.co.jp/fanfareshop/rsc01_14p/,22.0,LOW,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
https://fxtrade.co.jp,32.4,LOW,,0.0,0.365,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
