timestamp,target,cmi,level,error,authority,emotional,logical,statistical,hype,clickbait,propaganda,fear,enemy_frame,disclaimer_exploit,anonymous_authority,naked_number,sexual_induction,beauty_diet,human_label,riskfactor
2026-04-13 11:17:03,D:\r8_strategy\corpus\phase2\scan\note162.txt,24.0,LOW,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,
2026-04-13 11:17:03,D:\r8_strategy\corpus\phase2\scan\note163.txt,32.6,LOW,,0.0,0.774,1.0,0.774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,
