timestamp,target,cmi,level,error,authority,emotional,logical,statistical,hype,clickbait,propaganda,fear,enemy_frame,disclaimer_exploit,anonymous_authority,naked_number,sexual_induction,beauty_diet,human_label,riskfactor,others
2026/4/10 11:54,D:\r8_strategy\corpus\phase2\0326\AD_001_20260326.txt,61.4,HIGH,,1,0.797,1,1,1,0,0,0.273,0.342,0,0.091,1,0,0,HIGH,,
2026/4/10 11:54,D:\r8_strategy\corpus\phase2\0326\AD_002_20260326.txt,37.9,MEDIUM,,0,0.136,1,1,0.328,0,0,0.328,0.409,0,0,1,0,0,HIGH,,
2026/4/10 11:54,D:\r8_strategy\corpus\phase2\0326\AD_019_20260326.txt,11.9,LOW,,0,0.059,0,0.235,0,0,0,0,1,0,0,0,0,0,MIDDLE,,
2026/4/10 11:54,D:\r8_strategy\corpus\phase2\0326\AD_020_20260326.txt,35.4,MEDIUM,,0.31,0.226,0.678,1,0.232,0,0,0.077,0.194,0,0,1,0,0,HIGH,,
2026/4/10 11:54,D:\r8_strategy\corpus\phase2\0326\BL_014_20660326.txt,,ERROR,[Error] テキストが短すぎます（50文字未満）,,,,,,,,,,,,,,,,,
2026/4/10 11:54,D:\r8_strategy\corpus\phase2\0326\BL_015_20260326.txt,35.2,MEDIUM,,0,1,0,0.798,0,0,0,0,1,0,0,1,0,0,MIDDLE,,
2026/4/10 11:54,D:\r8_strategy\corpus\phase2\0326\BL_017_20260326.txt,11.9,LOW,,0,0.059,0,0.236,0,0,0,0,1,0,0,0,0,0,,,
2026/4/10 11:54,D:\r8_strategy\corpus\phase2\0326\Bl_018_20260326.txt,15.4,LOW,,0,0.152,1,0,0.73,0,0,0,0,0,0,0,0,0,,,
2026/4/10 11:54,D:\r8_strategy\corpus\phase2\0326\SN_003_20260326.txt,18,LOW,,0,0,0,1,0,0,0,0,0,0,0,0,1,0,,,
2026/4/10 11:54,D:\r8_strategy\corpus\phase2\0326\SN_004_20260326.txt,61.8,HIGH,,0.651,1,1,1,1,0,0,1,0,0,0,1,0,0,,,
