timestamp,target,cmi,level,error,authority,emotional,logical,statistical,hype,clickbait,propaganda,fear,enemy_frame,disclaimer_exploit,anonymous_authority,naked_number,sexual_induction,beauty_diet,human_label,riskfactor
2026-04-28 10:21:40,D:\r8_strategy\corpus\book\kimiwanazehatarakuka\ch1.txt,35.0,MEDIUM,,0.301,0.812,1.0,0.842,0.433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2026-04-28 10:21:40,D:\r8_strategy\corpus\book\kimiwanazehatarakuka\ch2.txt,27.7,LOW,,0.548,0.469,1.0,0.104,0.751,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,,
2026-04-28 10:21:40,D:\r8_strategy\corpus\book\kimiwanazehatarakuka\ch3.txt,27.0,LOW,,0.492,0.487,1.0,0.205,0.369,0.0,0.0,0.0,0.307,0.0,0.0,0.0,0.0,0.0,,
2026-04-28 10:21:40,D:\r8_strategy\corpus\book\kimiwanazehatarakuka\ch4.txt,23.4,LOW,,0.0,0.434,1.0,0.145,0.694,0.0,0.0,0.0,0.434,0.0,0.0,0.0,0.0,0.0,,
2026-04-28 10:21:40,D:\r8_strategy\corpus\,,ERROR,[Error] ファイル未検出: D:\r8_strategy\corpus\,,,,,,,,,,,,,,,,
